CMDLINE /home/blueman69/anaconda3/envs/dataSc/bin/python3.7 main.py
MEM 8160.554688 1655727288.6292
MEM 8166.960938 1655727288.7299
MEM 8173.554688 1655727288.8305
MEM 8180.863281 1655727288.9312
MEM 8187.613281 1655727289.0318
MEM 8194.179688 1655727289.1325
MEM 8202.429688 1655727289.2328
MEM 8215.679688 1655727289.3331
MEM 8222.429688 1655727289.4338
MEM 8228.929688 1655727289.5344
MEM 8236.746094 1655727289.6351
MEM 8243.496094 1655727289.7358
MEM 8249.996094 1655727289.8364
MEM 8256.824219 1655727289.9371
MEM 8263.324219 1655727290.0377
MEM 8269.824219 1655727290.1384
MEM 8276.574219 1655727290.2391
MEM 8285.796875 1655727290.3397
MEM 8290.046875 1655727290.4404
MEM 8296.546875 1655727290.5410
MEM 8303.296875 1655727290.6418
MEM 8309.796875 1655727290.7424
MEM 8316.296875 1655727290.8431
MEM 8340.941406 1655727290.9437
MEM 8347.441406 1655727291.0444
MEM 8353.941406 1655727291.1450
MEM 8360.441406 1655727291.2457
MEM 8367.191406 1655727291.3464
MEM 8373.691406 1655727291.4470
MEM 8385.226562 1655727291.5477
MEM 8387.476562 1655727291.6483
MEM 8394.226562 1655727291.7490
MEM 8400.976562 1655727291.8496
MEM 8407.476562 1655727291.9503
MEM 8414.226562 1655727292.0509
MEM 8420.726562 1655727292.1516
MEM 8427.476562 1655727292.2523
MEM 8434.226562 1655727292.3529
MEM 8442.976562 1655727292.4536
MEM 8447.773438 1655727292.5542
MEM 8454.523438 1655727292.6549
MEM 8461.273438 1655727292.7555
MEM 8467.773438 1655727292.8562
MEM 8474.523438 1655727292.9569
MEM 8481.273438 1655727293.0575
MEM 8487.773438 1655727293.1582
MEM 8494.523438 1655727293.2589
MEM 8501.273438 1655727293.3595
MEM 8515.277344 1655727293.4602
MEM 8515.640625 1655727293.5608
MEM 8521.640625 1655727293.6615
MEM 8528.140625 1655727293.7621
MEM 8534.890625 1655727293.8628
MEM 8541.640625 1655727293.9634
MEM 8548.140625 1655727294.0641
MEM 8554.890625 1655727294.1647
MEM 8561.390625 1655727294.2654
MEM 8567.390625 1655727294.3660
MEM 8574.140625 1655727294.4667
MEM 8580.890625 1655727294.5674
MEM 8587.640625 1655727294.6680
MEM 8594.140625 1655727294.7687
MEM 8605.976562 1655727294.8693
MEM 8608.226562 1655727294.9700
MEM 8614.726562 1655727295.0706
MEM 8621.476562 1655727295.1713
MEM 8628.226562 1655727295.2719
MEM 8634.726562 1655727295.3726
MEM 8641.476562 1655727295.4732
MEM 8648.226562 1655727295.5739
MEM 8654.726562 1655727295.6746
MEM 8661.476562 1655727295.7752
MEM 8667.476562 1655727295.8758
MEM 8674.226562 1655727295.9765
MEM 8680.976562 1655727296.0772
MEM 8687.476562 1655727296.1778
MEM 8694.226562 1655727296.2785
MEM 8700.976562 1655727296.3791
